symbol,non_compliant_income_pct,shariah_status,accounts_as_of,source
BGL,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BHAT,0.29,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BIFO,0.11,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BIPL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BNL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BNWM,0.02,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BPL,4.17,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BRRG,6.41,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BTL,0.05,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BUXL,0.03,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BWCL,6.94,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
BWHL,2.38,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CCM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CEPB,0.33,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CHAS,1.5,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CHBL,0.65,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CHCC,1.79,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CLOV,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CLVL,96.3,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CNERGY,0.02,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
COLG,0.19,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CPHL,0.7,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CPPL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CRTM,0.12,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CSAP,1.73,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
CTM,1.67,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DAAG,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DADX,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DCL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
DCR,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
