symbol,non_compliant_income_pct,shariah_status,accounts_as_of,source
LSECL,68.6,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
LUCK,0.27,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MACFL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MACTER,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MARI,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MEBL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MEHT,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MERIT,0.74,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MFFL,0.02,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MFL,0.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MIRKS,0.05,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MLCF,0.46,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MQTM,0.13,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MRNS,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MSCL,0.04,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MSOT,0.02,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MTL,0.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MUGHAL,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
MWMP,0.25,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NAGC,0.05,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NATF,1.2,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NCL,0.06,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NCPL,5.48,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NESTLE,0.19,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NETSOL,1.49,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NICL,0.02,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NML,1.92,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NONS,0.04,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NPL,6.47,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NRL,0.03,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NRSL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
NSRM,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OBOY,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OCTOPUS,3.88,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OGDC,6.62,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OLPM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OML,0.46,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ORM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
OTSU,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PABC,5.57,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PACE,8.12,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PAEL,0.03,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PAKD,1.95,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PAKL,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PAKOXY,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PCAL,0.13,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PIBTL,0.27,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PICT,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PIM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PIOC,0.02,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PKGP,54.13,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PKGS,0.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PNSC,7.74,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
POL,9.22,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
POML,0.39,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
POWER,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PPL,2.81,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PPP,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PREMA,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PRET,0.03,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PRL,0.36,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PRWM,0.06,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PSEL,1.24,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PSO,0.37,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PSX,40.39,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PSYL,0.58,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PTC,2.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
PTL,0.14,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
QUICE,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
RCML,0.1,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
REDCO,0.04,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
REWM,0.18,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
RMPL,1.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
RPL,0.22,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
RUPL,1.79,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SAIF,0.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SANSM,0.05,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SAPT,1.18,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SARC,0.19,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SASML,0.21,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SAZEW,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SCL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SEARL,0.89,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SEL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SEPL,6.95,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SERT,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SFL,12.14,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SGF,0.43,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SGPL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHCM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHDT,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHEZ,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHFA,0.17,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHJS,0.14,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SHSML,0.09,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SIEM,1.95,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SINDM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SITC,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SLGL,0.35,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SMCPL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SNAI,0.02,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SNGP,1.23,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SPEL,0.79,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SPWL,6.84,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SRVI,0.17,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SSGC,1.25,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SSOM,0.08,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STCL,0.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STJT,0.1,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STML,0.09,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STPL,0.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
STYLERS,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SURC,0.15,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SUTM,0.26,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SYM,0.71,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SYS,0.09,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
SZTM,0.19,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TATM,1.84,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TBL,0.85,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TCORP,0.01,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TELE,0.45,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TGL,0.27,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
THALL,2.65,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
THCCL,1.87,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TOMCL,0.12,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TOWL,0.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TPL,27.42,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TPLP,5.97,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TPLRF1,2.12,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TPLT,0.34,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TREET,0.17,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TRG,100.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TRIPF,0.07,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TRSM,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TSML,0.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
TSPL,12.22,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
UBDL,0.16,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
UDLI,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
UDPL,1.27,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
UNITY,0.79,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
UPFL,1.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WAFI,0.28,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WAHN,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WASL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WAVES,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WAVESAPP,0.01,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
WTL,0.88,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
YOUW,0.0,Non-Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ZAL,2.07,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ZIL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
ZTL,0.0,Compliant,2025-12-31,"Al-Meezan: Recomposition of PSX-KMI 30 Share Islamic Index, period ended Dec 2025 (complete ratios)"
